X,Y,fid,Name,No,SK_ID,SK_start_position,Side_road___kp,Road,Kp,Kp_SK,odc,Modules,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,SK_ID_full,status,GSM,Odcinek,Typ szafy,icon_url
19.0488507,50.5946356,"1",SSKA1DZnr1,"1001.0","1001.0","49.0",,powiatowa,,,,"1.0",101_B_3_024,,,,,,,,,,,ID_0_1001,"0",,"2",M-3.1,./0.png
19.0456269,50.5914474,"2",SSKA1DZnr2,"1002.0","1002.0","50.0",,powiatowa,,,,"1.0",101_B_3_025,,,,,,,,,,,ID_0_1002,"0",,"2",M-3.1,./0.png
19.057294,50.452166,"3",SSKA1km000174,"1003.0","1003.0","51.0",,A1,,,,"2.0",104_B_3_300,114_A_3_289,,,,,,,,,,ID_0_1003,"0",,"2",M-3.1,./0.png
18.7171163,50.2546592,"4",SSKA1km000869,"1004.0","1004.0","53.0",,A1,,,,"1.0",101_B_3_101,,,,,,,,,,,ID_0_1004,"0",,"5",M-3.1,./0.png
18.7165106,50.2540826,"5",SSKA1km000951,"1005.0","1005.0","54.0",,A1,,,,"1.0",104_C_3_026,,,,,,,,,,,ID_0_1005,"0",,"5",M-3.1,./0.png
18.7164102,50.252637,"6",SSKA1km001112,"1006.0","1006.0","55.0",,A1,,,,"1.0",104_C_3_025,,,,,,,,,,,ID_0_1006,"0",,"5",M-3.1,./0.png
18.712582,50.2443307,"7",SSKA1km002091,"1007.0","1007.0","56.0",,A1,,, 103_B_3_037.2,"6.0",101_A_3_001,103_B_3_037.2,104_B_3_340,104_B_3_343,114_A_3_320,114_A_3_322,,,,,,ID_0_1007,"0",,"5",M-3.3,./0.png
18.703602,50.2346171,"8",SSKA1km003323,"1008.0","1008.0","62.0",,A1a,,,,"2.0",101_A_3_018,103_B_3_010.2,,,,,,,,,,ID_0_1008,"0",,"1",M-3.2,./0.png
18.6950335,50.2264676,"9",SSKA1km004431,"1009.0","1009.0","64.0",,A1a,,,,"1.0",104_C_3_101,,,,,,,,,,,ID_0_1009,"0",,"1",M-3.1,./0.png
18.696196,50.2260959,"10",SSKA1km004445,"1010.0","1010.0","65.0",,A1a,,, 104_C_3_100,"5.0",104_B_3_003,104_B_3_065,104_C_3_100,114_A_3_003,114_A_3_066,,,,,,,ID_0_1010,"1",,"1",M-3.2,./0.png
18.693454,50.225561,"11",SSKA1km004560,"1011.0","1011.0","70.0",,A1a,,,,"2.0",104_B_3_059,114_A_3_060,,,,,,,,,,ID_0_1011,"0",,"1",M-3.1,./0.png
18.6938971,50.2245981,"12",SSKA1km004663,"1012.0","1012.0","72.0",,A1a,,,,"1.0",104_C_3_099,,,,,,,,,,,ID_0_1012,"0",,"1",M-3.1,./0.png
18.6929807,50.2239051,"13",SSKA1km004662,"1013.0","1013.0","73.0",,A1a,,, 104_B_3_007,"6.0",101_G_3_000,104_B_3_007,104_C_3_102,105_B_3_000,106_A_3_024,114_A_3_007,,,,,,ID_0_1013,"0",,"1",M-3.3,./0.png
18.6935184,50.2106206,"14",SSKA1km006244,"1014.0","1014.0","79.0",,A1a,,,,"2.0",101_A_3_039,101_A_3_081,,,,,,,,,,ID_0_1014,"1",,"1",M-3.1,./0.png
18.697579,50.2054989,"15",SSKA1km006898,"1015.0","1015.0","81.0",,A1a,,,,"1.0",112_A_3_003,,,,,,,,,,,ID_0_1015,"0",,"1",M-3.1,./0.png
18.7013963,50.198588,"16",SSKA1km007704,"1016.0","1016.0","82.0",,A1a,,,,"2.0",104_B_3_350,114_A_3_327,,,,,,,,,,ID_0_1016,"0",,"1",M-3.1,./0.png
18.7020411,50.1971162,"17",SSKA1km007950,"1017.0","1017.0","84.0",,A1a,,,,"2.0",104_C_3_005,106_A_3_010,,,,,,,,,,ID_0_1017,"0",,"1",M-3.2,./0.png
18.7023898,50.1956083,"18",SSKA1km007986,"1018.0","1018.0","86.0",,A1a,,,,"2.0",104_C_3_004,106_A_3_007,,,,,,,,,,ID_0_1018,"0",,"1",M-3.1,./0.png
18.7032202,50.1936787,"19",SSKA1km008263,"1019.0","1019.0","88.0",,A1a,,,,"2.0",104_B_3_346,114_A_3_325,,,,,,,,,,ID_0_1019,"0",,"1",M-3.1,./0.png
18.7096636,50.1821909,"20",SSKA1km009627,"1020.0","1020.0","90.0",,A1a,,,,"3.0",104_C_3_008,106_B_3_001_A,106_B_3_001_B,,,,,,,,,ID_0_1020,"0",,"1",M-3.3,./0.png
18.7143084,50.1762131,"21",SSKA1km010366,"1021.0","1021.0","93.0",,A1a,,,,"2.0",101_A_3_005,101_A_3_076,,,,,,,,,,ID_0_1021,"0",,"1",M-3.1,./0.png
18.713597,50.163762,"22",SSKA1km011711,"1022.0","1022.0","95.0",,A1a,,, 104_C_3_104,"5.0",104_B_3_074,104_B_3_077,104_C_3_104,114_A_3_075,114_A_3_078,,,,,,,ID_0_1022,"0",,"1",M-3.2,./0.png
18.711345,50.163625,"23",SSKA1km011868,"1023.0","1023.0","100.0",,A1a,,,,"3.0",104_B_3_073,106_A_3_063,114_A_3_074,,,,,,,,,ID_0_1023,"1",,"1",M-3.1,./0.png
18.7120658,50.1631171,"24",SSKA1km011870,"1024.0","1024.0","103.0",,A1a,,,,"1.0",104_C_3_106,,,,,,,,,,,ID_0_1024,"0",,"1",M-3.1,./0.png
18.710213,50.161984,"25",SSKA1km012052,"1025.0","1025.0","104.0",,A1a,,,,"3.0",104_B_3_004,104_C_3_105,114_A_3_004,,,,,,,,,ID_0_1025,"0",,"1",M-3.1,./0.png
18.7014365,50.1533366,"26",SSKA1km013198,"1026.0","1026.0","107.0",,A1a,,,,"1.0",101_A_3_026,,,,,,,,,,,ID_0_1026,"0",,"1",M-3.1,./0.png
18.6974004,50.1486989,"27",SSKA1km013784,"1027.0","1027.0","108.0",,A1a,,, 104_B_3_345,"5.0",101_A_3_012,104_B_3_344,104_B_3_345,114_A_3_323,114_A_3_324,,,,,,,ID_0_1027,"0",,"1",M-3.1,./0.png
